category,type,mean_price,mean_rating,mean_rating
ART_AND_DESIGN,Free,0.00,4.30,23230.10
ART_AND_DESIGN,Paid,1.99,4.70,722.00
AUTO_AND_VEHICLES,Free,0.00,4.20,14140.30
AUTO_AND_VEHICLES,Paid,4.49,4.60,1387.70
BEAUTY,Free,0.00,4.30,7476.20
BOOKS_AND_REFERENCE,Free,0.00,4.30,86183.10
BOOKS_AND_REFERENCE,Paid,4.28,4.30,64.10
BUSINESS,Free,0.00,4.10,24179.20
BUSINESS,Paid,14.61,4.10,2094.30
COMICS,Free,0.00,4.20,41822.70
COMMUNICATION,Free,0.00,4.10,992108.20
COMMUNICATION,Paid,3.08,4.10,3119.00
DATING,Free,0.00,4.00,21951.10
DATING,Paid,4.57,3.40,268.00
EDUCATION,Free,0.00,4.40,115908.70
EDUCATION,Paid,4.49,4.80,8661.20
ENTERTAINMENT,Free,0.00,4.10,347526.40
ENTERTAINMENT,Paid,3.99,4.60,5004.50
EVENTS,Free,0.00,4.40,2555.80
EVENTS,Paid,109.99,,0.00
FAMILY,Free,0.00,4.20,85068.50
FAMILY,Paid,13.11,4.30,19850.10
FINANCE,Free,0.00,4.10,38533.30
FINANCE,Paid,170.64,3.80,1364.60
FOOD_AND_DRINK,Free,0.00,4.20,57469.40
FOOD_AND_DRINK,Paid,4.24,4.40,1698.50
GAME,Free,0.00,4.20,707783.20
GAME,Paid,3.47,4.40,19181.10
HEALTH_AND_FITNESS,Free,0.00,4.20,78079.00
HEALTH_AND_FITNESS,Paid,4.29,4.40,3052.90
HOUSE_AND_HOME,Free,0.00,4.20,26079.00
LIBRARIES_AND_DEMO,Free,0.00,4.20,10925.60
LIBRARIES_AND_DEMO,Paid,0.99,,4.00
LIFESTYLE,Free,0.00,4.10,33672.10
LIFESTYLE,Paid,124.26,4.20,2495.90
MAPS_AND_NAVIGATION,Free,0.00,4.00,140650.50
MAPS_AND_NAVIGATION,Paid,5.39,3.90,1437.60
MEDICAL,Free,0.00,4.10,3727.50
MEDICAL,Paid,12.00,4.20,241.00
NEWS_AND_MAGAZINES,Free,0.00,4.10,91785.80
NEWS_AND_MAGAZINES,Paid,1.99,4.80,100.50
PARENTING,Free,0.00,4.30,16378.70
PARENTING,Paid,4.79,3.40,4183.00
PERSONALIZATION,Free,0.00,4.30,180508.20
PERSONALIZATION,Paid,1.86,4.40,3619.20
PHOTOGRAPHY,Free,0.00,4.20,401664.30
PHOTOGRAPHY,Paid,6.23,4.00,6064.80
PRODUCTIVITY,Free,0.00,4.20,160170.30
PRODUCTIVITY,Paid,8.96,4.20,6132.90
SHOPPING,Free,0.00,4.20,222756.20
SHOPPING,Paid,2.74,4.50,242.00
SOCIAL,Free,0.00,4.30,965794.70
SOCIAL,Paid,5.32,3.70,80.70
SPORTS,Free,0.00,4.20,116937.50
SPORTS,Paid,4.17,4.30,6276.50
TOOLS,Free,0.00,4.00,305987.50
TOOLS,Paid,3.43,4.20,2204.30
TRAVEL_AND_LOCAL,Free,0.00,4.10,129476.70
TRAVEL_AND_LOCAL,Paid,4.16,4.10,1506.10
VIDEO_PLAYERS,Free,0.00,4.00,424347.20
VIDEO_PLAYERS,Paid,2.62,4.10,3341.80
WEATHER,Free,0.00,4.20,171249.60
WEATHER,Paid,4.05,4.40,17055.10
